client_id,prenom,nom,date_naissance,genre,telephone,ville,date_inscription
CLI0284,Moussa,Diallo,1965-09-09,M,+221 73 294 25 71,Ziguinchor,2022-11-25
CLI0285,Cheikh,Sow,1989-10-07,M,+221 75 894 46 58,Lomé,2021-12-28
CLI0286,Rokhaya,Diallo,1981-02-18,F,+221 78 609 69 22,Lomé,2023-04-09
CLI0287,Aïssatou,Sy,1979-01-14,F,+221 76 146 82 38,Saint-Louis,2019-02-03
CLI0288,Coumba,Sarr,1990-12-24,F,+221 76 402 29 35,Abidjan,2020-04-16
CLI0289,Mame,Sow,1987-05-26,F,+221 78 770 97 53,Kaolack,2023-04-13
CLI0290,Adja,Koné,1972-07-19,F,+221 75 273 27 79,Lomé,2020-01-12
CLI0291,Modou,Diop,1968-05-02,M,+221 70 882 10 62,Saint-Louis,2023-09-22
CLI0292,Mamadou,Diouf,1971-10-11,M,+221 70 323 74 68,Abidjan,2019-05-04
CLI0293,Adja,Diop,1965-04-19,F,+221 78 664 62 11,Dakar,2021-12-20
CLI0294,Coumba,Diallo,1965-10-08,F,+221 78 932 99 96,Bamako,2023-07-10
CLI0295,Mamadou,Fall,1988-07-10,M,+221 72 346 34 89,Cotonou,2020-05-31
CLI0296,Rokhaya,Traoré,1968-07-18,F,+221 75 515 68 82,Ziguinchor,2022-11-28
CLI0297,Aliou,Gueye,1968-08-13,M,+221 70 195 61 58,Bamako,2022-02-05
CLI0298,Fatou,Gueye,1965-06-04,F,+221 72 184 73 65,Abidjan,2022-03-04
CLI0299,Modou,Diop,1975-04-23,M,+221 73 988 98 82,Lomé,2020-07-09
CLI0300,Mamadou,Gueye,1977-07-30,M,+221 78 677 94 14,Saint-Louis,2023-10-08
